bank_name,task,fold_id,compound_id,self_compound_in_bank,alt_id_same_smiles_in_bank
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2047353,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2047565,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2048167,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID30190948,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3020043,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3020047,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3020332,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3020415,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3020887,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3020910,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3021277,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3021356,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3021518,1,1
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3021641,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3021643,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3021645,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3021932,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3021936,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3021980,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3021984,1,1
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3021986,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3022247,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3022588,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3022667,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3024152,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3024154,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3024368,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3024657,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3024940,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3024944,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3025049,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3025122,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3025469,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3026223,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3026564,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3026566,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3026691,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3026697,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3026726,1,1
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3026728,1,1
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3034614,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3035214,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3035266,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3035341,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3036105,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3036286,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3036288,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3037707,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID3037709,1,0
