compound_id,dtxsid,name,smiles_final,qsar_ready_smiles,ms_ready_smiles,smiles_ctx,exclusion_reason
DTXSID3049544,DTXSID3049544,NTP Mix89 ER AR1 18-GP,,,,,missing_smiles_final
DTXSID3049546,DTXSID3049546,NTP Mix91 ER AR1 18-GP,,,,,missing_smiles_final
DTXSID3049548,DTXSID3049548,NTP Mix93 ER AR1 18-GP,,,,,missing_smiles_final
DTXSID3057727,DTXSID3057727,dl-Furfenorex,,,,,missing_smiles_final
DTXSID30858874,DTXSID30858874,EPAMED_Water_Set2-8,,,,,missing_smiles_final
DTXSID30858879,DTXSID30858879,EPAMED_Water_Set2-13,,,,,missing_smiles_final
DTXSID30858894,DTXSID30858894,EPAMED_Water_Set2-28,,,,,missing_smiles_final
DTXSID30858899,DTXSID30858899,EPAMED_Water_Set2-33,,,,,missing_smiles_final
DTXSID30858910,DTXSID30858910,EPAMED_Water_Set2-44,,,,,missing_smiles_final
DTXSID30858915,DTXSID30858915,EPAMED_Water_Set2-49,,,,,missing_smiles_final
DTXSID30872712,DTXSID30872712,EPAMED_Water_Set3-7,,,,,missing_smiles_final
DTXSID30872717,DTXSID30872717,EPAMED_Water_Set3-12,,,,,missing_smiles_final
DTXSID30872732,DTXSID30872732,EPAMED_Water_Set3-27,,,,,missing_smiles_final
DTXSID30872737,DTXSID30872737,EPAMED_Water_Set3-32,,,,,missing_smiles_final
DTXSID30872752,DTXSID30872752,EPAMED_Water_Set3-47,,,,,missing_smiles_final
DTXSID30872757,DTXSID30872757,EPAMED_Water_Set3-52,,,,,missing_smiles_final
DTXSID30903833,DTXSID30903833,EPAMED_Water_Set4-9,,,,,missing_smiles_final
DTXSID30903838,DTXSID30903838,EPAMED_Water_Set4-14,,,,,missing_smiles_final
DTXSID30903853,DTXSID30903853,EPAMED_Water_Set4-29,,,,,missing_smiles_final
DTXSID30903858,DTXSID30903858,EPAMED_Water_Set4-44,,,,,missing_smiles_final
DTXSID30903873,DTXSID30903873,EPAMED_Water_Set5-14,,,,,missing_smiles_final
DTXSID30903878,DTXSID30903878,EPAMED_Water_Set5-19,,,,,missing_smiles_final
DTXSID30903893,DTXSID30903893,EPAMED_Water_Set5-34,,,,,missing_smiles_final
DTXSID401339551,DTXSID401339551,AFFF Solberg Unfractionated (1X),,,,,missing_smiles_final
DTXSID401351804,DTXSID401351804,2-(Phenylmethylene)octanal; Pioglitazone hydrochloride (50:50),,,,,missing_smiles_final
DTXSID4021264,DTXSID4021264,Selenium dioxide,,,,,missing_smiles_final
DTXSID4021391,DTXSID4021391,Tris(methylphenyl) phosphate,,,,,missing_smiles_final
DTXSID4029565,DTXSID4029565,"1,2-Benzenedicarboxylic acid, diundecyl ester, branched and linear",,,,,missing_smiles_final
DTXSID4029806,DTXSID4029806,"Benzenesulfonic acid, C10-14-alkyl derivs., sodium salts",,,,,missing_smiles_final
DTXSID4040688,DTXSID4040688,Nystatin,,,,,missing_smiles_final
DTXSID4041074,DTXSID4041074,Neomycin sulfate,,,,,missing_smiles_final
DTXSID4026054,DTXSID4026054,Styrax balsam,,,,,missing_smiles_final
DTXSID4027868,DTXSID4027868,tert-Nonanethiol,,,,,missing_smiles_final
DTXSID4028460,DTXSID4028460,Benzyl-C12-18-alkyldimethylammonium chlorides,,,,,missing_smiles_final
DTXSID4028880,DTXSID4028880,Triphenyl phosphates isopropylated,,,,,missing_smiles_final
DTXSID4029062,DTXSID4029062,Dipropyleneglycol methyl ether acetate,,,,,missing_smiles_final
DTXSID4045846,DTXSID4045846,Tyrothricin,,,,,missing_smiles_final
DTXSID4045848,DTXSID4045848,Acriflavine hydrochloride,,,,,missing_smiles_final
DTXSID4044537,DTXSID4044537,Sodium triisopropyl naphthalene sulfonate,,,,,missing_smiles_final
DTXSID4044951,DTXSID4044951,2-Hydroxyethyl methacrylate phosphate,,,,,missing_smiles_final
DTXSID4047040,DTXSID4047040,Zinc neodecanoate,,,,,missing_smiles_final
DTXSID4047179,DTXSID4047179,Isocetyl stearate,,,,,missing_smiles_final
DTXSID4047597,DTXSID4047597,Poloxalene,,,,,missing_smiles_final
DTXSID4047709,DTXSID4047709,Cananga oil,,,,,missing_smiles_final
DTXSID4048642,DTXSID4048642,Teicoplanin,,,,,missing_smiles_final
